--------------------------------------------------------------------------------
		marvellous infosystems process log

		log file is created at: Fri Jun 20 17:00:58 2025
--------------------------------------------------------------------------------{'username': 'NT AUTHORITY\\SYSTEM', 'pid': 0, 'name': 'System Idle Process'} 
{'username': None, 'pid': 4968, 'name': 'RtkBtManServ.exe'} 
{'username': None, 'pid': 4980, 'name': 'GoodixSessionService.exe'} 
{'username': None, 'pid': 4992, 'name': 'WavesAudioService.exe'} 
{'username': None, 'pid': 5000, 'name': 'svchost.exe'} 
{'username': None, 'pid': 5008, 'name': 'WavesSysSvc64.exe'} 
{'username': None, 'pid': 5028, 'name': 'svchost.exe'} 
{'username': None, 'pid': 5036, 'name': 'WMIRegistrationService.exe'} 
{'username': None, 'pid': 5044, 'name': 'svchost.exe'} 
{'username': None, 'pid': 5052, 'name': 'RtkAudUService64.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 5076, 'name': 'conhost.exe'} 
{'username': None, 'pid': 5104, 'name': 'svchost.exe'} 
{'username': None, 'pid': 5116, 'name': 'svchost.exe'} 
{'username': None, 'pid': 5136, 'name': 'svchost.exe'} 
{'username': None, 'pid': 5176, 'name': 'svchost.exe'} 
{'username': None, 'pid': 5224, 'name': 'svchost.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 5316, 'name': 'steamwebhelper.exe'} 
{'username': None, 'pid': 5420, 'name': 'Dell.TechHub.Analytics.SubAgent.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 5432, 'name': 'msedge.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 5704, 'name': 'msedgewebview2.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 6136, 'name': 'ipf_helper.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 6224, 'name': 'Code.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 6516, 'name': 'Code.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 6708, 'name': 'ShellExperienceHost.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 6884, 'name': 'msedgewebview2.exe'} 
{'username': None, 'pid': 6984, 'name': 'csrss.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 7212, 'name': 'msedgewebview2.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 8524, 'name': 'uihost.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 8560, 'name': 'cmd.exe'} 
{'username': None, 'pid': 8640, 'name': 'svchost.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 8748, 'name': 'SystemSettings.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 8984, 'name': 'conhost.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 9064, 'name': 'Code.exe'} 
{'username': None, 'pid': 9100, 'name': 'AggregatorHost.exe'} 
{'username': None, 'pid': 9196, 'name': 'svchost.exe'} 
{'username': None, 'pid': 9208, 'name': 'svchost.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 9244, 'name': 'Widgets.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 9276, 'name': 'StartMenuExperienceHost.exe'} 
{'username': None, 'pid': 9332, 'name': 'DDVCollectorSvcApi.exe'} 
{'username': None, 'pid': 9376, 'name': 'svchost.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 9420, 'name': 'msedgewebview2.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 9688, 'name': 'Code.exe'} 
{'username': None, 'pid': 9704, 'name': 'svchost.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 9792, 'name': 'Code.exe'} 
{'username': None, 'pid': 9808, 'name': 'svchost.exe'} 
{'username': None, 'pid': 10024, 'name': 'svchost.exe'} 
{'username': None, 'pid': 10168, 'name': 'DellSupportAssistRemedationService.exe'} 
{'username': None, 'pid': 10336, 'name': 'WmiPrvSE.exe'} 
{'username': None, 'pid': 10564, 'name': 'svchost.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 10948, 'name': 'SecurityHealthSystray.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 10992, 'name': 'chrome.exe'} 
{'username': None, 'pid': 11360, 'name': 'mc-neo-host.exe'} 
